alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.7218,0.04441,0.03577,0.0251,1.0000,0.4594
-4.750,-0.7329,0.04265,0.03395,0.0297,1.0000,0.4723
-4.500,-0.7440,0.04084,0.03204,0.0342,1.0000,0.4866
-4.250,-0.7258,0.04073,0.03199,0.0369,1.0000,0.5021
-4.000,-0.7123,0.04039,0.03169,0.0397,1.0000,0.5175
-3.750,-0.7020,0.03987,0.03120,0.0427,1.0000,0.5334
-3.500,-0.6929,0.03929,0.03062,0.0456,1.0000,0.5497
-3.250,-0.6834,0.03877,0.03010,0.0484,1.0000,0.5667
-3.000,-0.6731,0.03831,0.02964,0.0511,1.0000,0.5841
-2.750,-0.6617,0.03798,0.02932,0.0536,1.0000,0.6019
-2.500,-0.6496,0.03773,0.02908,0.0560,1.0000,0.6201
-2.250,-0.6368,0.03758,0.02896,0.0584,1.0000,0.6386
-2.000,-0.5893,0.03832,0.02973,0.0555,0.9898,0.6621
-1.750,-0.5358,0.03877,0.03012,0.0508,0.9732,0.6894
-1.500,-0.4678,0.04005,0.03141,0.0453,0.9565,0.7131
-1.250,-0.4056,0.04108,0.03245,0.0405,0.9387,0.7359
-1.000,-0.3454,0.04190,0.03325,0.0359,0.9206,0.7587
-0.750,-0.2903,0.04242,0.03373,0.0317,0.9025,0.7822
-0.500,-0.2184,0.04323,0.03453,0.0252,0.8837,0.8037
-0.250,-0.1219,0.04415,0.03543,0.0148,0.8641,0.8238
0.000,-0.0001,0.04458,0.03586,0.0000,0.8439,0.8439
0.250,0.1219,0.04415,0.03543,-0.0148,0.8238,0.8641
0.500,0.2184,0.04323,0.03453,-0.0252,0.8037,0.8837
0.750,0.2903,0.04241,0.03373,-0.0317,0.7822,0.9025
1.000,0.3455,0.04190,0.03324,-0.0359,0.7587,0.9206
1.250,0.4055,0.04108,0.03244,-0.0405,0.7359,0.9388
1.500,0.4679,0.04004,0.03141,-0.0453,0.7132,0.9565
1.750,0.5359,0.03876,0.03011,-0.0508,0.6894,0.9732
2.000,0.5893,0.03831,0.02972,-0.0555,0.6621,0.9899
2.250,0.6366,0.03757,0.02895,-0.0583,0.6386,1.0000
2.500,0.6495,0.03772,0.02908,-0.0560,0.6201,1.0000
2.750,0.6616,0.03797,0.02932,-0.0536,0.6020,1.0000
3.000,0.6729,0.03830,0.02964,-0.0511,0.5841,1.0000
3.250,0.6832,0.03876,0.03009,-0.0484,0.5667,1.0000
3.500,0.6927,0.03928,0.03061,-0.0456,0.5497,1.0000
3.750,0.7019,0.03986,0.03119,-0.0427,0.5334,1.0000
4.000,0.7122,0.04037,0.03168,-0.0397,0.5175,1.0000
4.250,0.7258,0.04072,0.03198,-0.0369,0.5021,1.0000
4.500,0.7437,0.04084,0.03204,-0.0342,0.4867,1.0000
4.750,0.7326,0.04265,0.03395,-0.0297,0.4723,1.0000
5.000,0.7217,0.04440,0.03576,-0.0251,0.4594,1.0000
5.250,0.7288,0.04519,0.03652,-0.0215,0.4462,1.0000
5.500,0.7510,0.04524,0.03648,-0.0189,0.4319,1.0000
5.750,0.6920,0.04928,0.04067,-0.0110,0.4248,1.0000
6.000,0.7075,0.04972,0.04106,-0.0078,0.4120,1.0000
6.250,0.6289,0.05468,0.04602,0.0009,0.4082,1.0000
6.500,0.6562,0.05467,0.04597,0.0033,0.3952,1.0000
7.000,0.6068,0.05984,0.05103,0.0134,0.3794,1.0000
7.250,0.4986,0.06967,0.06071,0.0161,0.3774,1.0000
7.500,0.4539,0.07584,0.06680,0.0165,0.3711,1.0000
7.750,0.4738,0.07713,0.06808,0.0182,0.3604,1.0000
8.000,0.4399,0.08294,0.07383,0.0177,0.3552,1.0000
8.250,0.4667,0.08399,0.07488,0.0194,0.3442,1.0000
8.500,0.4362,0.08988,0.08072,0.0181,0.3407,1.0000
8.750,0.4270,0.09407,0.08489,0.0176,0.3352,1.0000
9.000,0.4448,0.09639,0.08721,0.0184,0.3267,1.0000
9.250,0.4282,0.10139,0.09219,0.0170,0.3245,1.0000
9.500,0.4199,0.10590,0.09669,0.0159,0.3228,1.0000
9.750,0.4523,0.10761,0.09842,0.0173,0.3116,1.0000
10.000,0.4445,0.11250,0.10332,0.0157,0.3122,1.0000
10.250,0.4196,0.11910,0.10990,0.0123,0.3265,1.0000
