alpha_deg,CL,CD,CM,Re,Mach,airfoil
-5.0,-0.3139,0.00862,-0.0582,1000000.0,0.2,NACA 2412
-4.0,-0.2024,0.00786,-0.0569,1000000.0,0.2,NACA 2412
-3.0,-0.0903,0.00721,-0.0559,1000000.0,0.2,NACA 2412
-2.0,0.022,0.00671,-0.0551,1000000.0,0.2,NACA 2412
-1.0,0.1331,0.00623,-0.0543,1000000.0,0.2,NACA 2412
0.0,0.2425,0.00578,-0.053,1000000.0,0.2,NACA 2412
1.0,0.3495,0.0056,-0.0508,1000000.0,0.2,NACA 2412
3.0,0.6035,0.00645,-0.0549,1000000.0,0.2,NACA 2412
4.0,0.7313,0.00707,-0.0579,1000000.0,0.2,NACA 2412
5.0,0.8274,0.00796,-0.054,1000000.0,0.2,NACA 2412
6.0,0.9213,0.00937,-0.05,1000000.0,0.2,NACA 2412
7.0,1.0153,0.01114,-0.0462,1000000.0,0.2,NACA 2412
8.0,1.11,0.01287,-0.0426,1000000.0,0.2,NACA 2412
9.0,1.2027,0.01462,-0.0386,1000000.0,0.2,NACA 2412
10.0,1.2865,0.01676,-0.0333,1000000.0,0.2,NACA 2412
11.0,1.3543,0.01917,-0.0257,1000000.0,0.2,NACA 2412
12.0,1.405,0.02265,-0.0172,1000000.0,0.2,NACA 2412
13.0,1.4498,0.02716,-0.0104,1000000.0,0.2,NACA 2412
14.0,1.468,0.03495,-0.0054,1000000.0,0.2,NACA 2412
15.0,1.4759,0.04543,-0.0042,1000000.0,0.2,NACA 2412
-5.0,-0.3244,0.00739,-0.0554,2000000.0,0.2,NACA 2412
-4.0,-0.2102,0.00687,-0.0548,2000000.0,0.2,NACA 2412
-3.0,-0.096,0.00645,-0.0543,2000000.0,0.2,NACA 2412
-2.0,0.0183,0.00613,-0.054,2000000.0,0.2,NACA 2412
-1.0,0.1326,0.00589,-0.0538,2000000.0,0.2,NACA 2412
0.0,0.2461,0.00559,-0.0535,2000000.0,0.2,NACA 2412
1.0,0.3592,0.00534,-0.0532,2000000.0,0.2,NACA 2412
2.0,0.4707,0.00523,-0.0522,2000000.0,0.2,NACA 2412
3.0,0.5777,0.00544,-0.0498,2000000.0,0.2,NACA 2412
4.0,0.706,0.00617,-0.0526,2000000.0,0.2,NACA 2412
5.0,0.8341,0.00728,-0.0559,2000000.0,0.2,NACA 2412
7.0,1.0264,0.00987,-0.0484,2000000.0,0.2,NACA 2412
8.0,1.1275,0.01117,-0.0456,2000000.0,0.2,NACA 2412
9.0,1.2268,0.01255,-0.0426,2000000.0,0.2,NACA 2412
10.0,1.323,0.01401,-0.0391,2000000.0,0.2,NACA 2412
11.0,1.4112,0.01578,-0.0343,2000000.0,0.2,NACA 2412
12.0,1.482,0.01788,-0.0268,2000000.0,0.2,NACA 2412
13.0,1.5386,0.02087,-0.0186,2000000.0,0.2,NACA 2412
14.0,1.5863,0.02494,-0.0115,2000000.0,0.2,NACA 2412
15.0,1.6121,0.03164,-0.0057,2000000.0,0.2,NACA 2412
