  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3139   0.00862   0.00308  -0.0582   0.9175   0.0667
  -4.500  -0.2582   0.00824   0.00269  -0.0575   0.8992   0.0824
  -4.000  -0.2024   0.00786   0.00235  -0.0569   0.8790   0.1062
  -3.500  -0.1463   0.00752   0.00206  -0.0564   0.8564   0.1376
  -3.000  -0.0903   0.00721   0.00181  -0.0559   0.8311   0.1779
  -2.500  -0.0341   0.00694   0.00162  -0.0555   0.8035   0.2258
  -2.000   0.0220   0.00671   0.00146  -0.0551   0.7739   0.2817
  -1.500   0.0779   0.00650   0.00135  -0.0547   0.7422   0.3476
  -1.000   0.1331   0.00623   0.00127  -0.0543   0.7088   0.4389
  -0.500   0.1878   0.00596   0.00124  -0.0537   0.6747   0.5570
   0.000   0.2425   0.00578   0.00126  -0.0530   0.6405   0.6625
   0.500   0.2966   0.00566   0.00132  -0.0521   0.6070   0.7581
   1.000   0.3495   0.00560   0.00144  -0.0508   0.5753   0.8476
   1.500   0.4015   0.00567   0.00158  -0.0491   0.5453   0.9191
   2.500   0.5278   0.00614   0.00189  -0.0510   0.4866   0.9844
   3.000   0.6035   0.00645   0.00206  -0.0549   0.4553   0.9940
   3.500   0.6825   0.00677   0.00225  -0.0597   0.4208   1.0000
   4.000   0.7313   0.00707   0.00243  -0.0579   0.3871   1.0000
   4.500   0.7798   0.00746   0.00265  -0.0560   0.3471   1.0000
   5.000   0.8274   0.00796   0.00297  -0.0540   0.3006   1.0000
   5.500   0.8744   0.00860   0.00338  -0.0519   0.2482   1.0000
   6.000   0.9213   0.00937   0.00389  -0.0500   0.1937   1.0000
   6.500   0.9682   0.01025   0.00451  -0.0480   0.1425   1.0000
   7.000   1.0153   0.01114   0.00519  -0.0462   0.1025   1.0000
   7.500   1.0626   0.01201   0.00592  -0.0444   0.0751   1.0000
   8.000   1.1100   0.01287   0.00670  -0.0426   0.0577   1.0000
   8.500   1.1570   0.01372   0.00752  -0.0407   0.0465   1.0000
   9.000   1.2027   0.01462   0.00843  -0.0386   0.0390   1.0000
   9.500   1.2464   0.01561   0.00945  -0.0362   0.0335   1.0000
  10.000   1.2865   0.01676   0.01063  -0.0333   0.0292   1.0000
  10.500   1.3258   0.01776   0.01172  -0.0303   0.0265   1.0000
  11.000   1.3543   0.01917   0.01321  -0.0257   0.0241   1.0000
  11.500   1.3855   0.02050   0.01465  -0.0219   0.0222   1.0000
  12.000   1.4050   0.02265   0.01692  -0.0172   0.0205   1.0000
  12.500   1.4300   0.02463   0.01905  -0.0137   0.0194   1.0000
  13.000   1.4498   0.02716   0.02173  -0.0104   0.0183   1.0000
  13.500   1.4538   0.03127   0.02600  -0.0072   0.0172   1.0000
  14.000   1.4680   0.03495   0.02988  -0.0054   0.0165   1.0000
  14.500   1.4748   0.03970   0.03483  -0.0043   0.0158   1.0000
  15.000   1.4759   0.04543   0.04076  -0.0042   0.0152   1.0000
  -5.000  -0.3597   0.00000  -0.00234  -0.0503   0.0000   0.0000
  -4.500  -0.2973   0.00000  -0.00209  -0.0509   0.0000   0.0000
  -4.000  -0.2349   0.00000  -0.00188  -0.0515   0.0000   0.0000
  -3.500  -0.1727   0.00000  -0.00172  -0.0521   0.0000   0.0000
  -3.000  -0.1104   0.00000  -0.00160  -0.0528   0.0000   0.0000
  -2.500  -0.0483   0.00000  -0.00150  -0.0535   0.0000   0.0000
  -2.000   0.0139   0.00000  -0.00143  -0.0542   0.0000   0.0000
  -1.500   0.0760   0.00000  -0.00138  -0.0549   0.0000   0.0000
  -1.000   0.1380   0.00000  -0.00135  -0.0556   0.0000   0.0000
  -0.500   0.2001   0.00000  -0.00133  -0.0563   0.0000   0.0000
