  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     2.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3244   0.00739   0.00231  -0.0554   0.8646   0.0527
  -4.000  -0.2102   0.00687   0.00176  -0.0548   0.8159   0.0813
  -3.000  -0.0960   0.00645   0.00135  -0.0543   0.7586   0.1330
  -2.000   0.0183   0.00613   0.00109  -0.0540   0.6943   0.2104
  -1.000   0.1326   0.00589   0.00096  -0.0538   0.6278   0.3143
   0.000   0.2461   0.00559   0.00093  -0.0535   0.5632   0.4818
   1.000   0.3592   0.00534   0.00104  -0.0532   0.5058   0.6720
   2.000   0.4707   0.00523   0.00125  -0.0522   0.4544   0.8406
   3.000   0.5777   0.00544   0.00157  -0.0498   0.4004   0.9594
   4.000   0.7060   0.00617   0.00198  -0.0526   0.3197   0.9941
   5.000   0.8341   0.00728   0.00263  -0.0559   0.2160   1.0000
   7.000   1.0264   0.00987   0.00449  -0.0484   0.0700   1.0000
   8.000   1.1275   0.01117   0.00563  -0.0456   0.0430   1.0000
   9.000   1.2268   0.01255   0.00696  -0.0426   0.0294   1.0000
  10.000   1.3230   0.01401   0.00847  -0.0391   0.0230   1.0000
  11.000   1.4112   0.01578   0.01031  -0.0343   0.0185   1.0000
  12.000   1.4820   0.01788   0.01256  -0.0268   0.0158   1.0000
  13.000   1.5386   0.02087   0.01573  -0.0186   0.0137   1.0000
  14.000   1.5863   0.02494   0.02003  -0.0115   0.0122   1.0000
  15.000   1.6121   0.03164   0.02704  -0.0057   0.0111   1.0000
