alpha_deg,CL,CD,naca,Re,Mach
-5,-0.5663,0.00762,10,2000000,0.2
-4,-0.4395,0.00664,10,2000000,0.2
-3,-0.3314,0.00576,10,2000000,0.2
-2,-0.2227,0.00513,10,2000000,0.2
-1,-0.112,0.00481,10,2000000,0.2
0,0,0.00471,10,2000000,0.2
1,0.1121,0.00481,10,2000000,0.2
2,0.2228,0.00512,10,2000000,0.2
3,0.3314,0.00576,10,2000000,0.2
4,0.4396,0.00664,10,2000000,0.2
5,0.5662,0.00762,10,2000000,0.2
6,0.7023,0.00864,10,2000000,0.2
7,0.8234,0.00963,10,2000000,0.2
8,0.9199,0.01079,10,2000000,0.2
9,1.0193,0.01222,10,2000000,0.2
13,1.3686,0.02381,10,2000000,0.2
14,1.3944,0.02944,10,2000000,0.2
15,1.365,0.04373,10,2000000,0.2
16,1.2644,0.07724,10,2000000,0.2
17,1.0765,0.12675,10,2000000,0.2
